Date,Total_Cases
10-Jun-20,7031
17-Jun-20,8794
24-Jun-20,9817
1-Jul-20,10608
8-Jul-20,11052
15-Jul-20,11322
22-Jul-20,11517
29-Jul-20,11654
5-Aug-20,11780
12-Aug-20,12044
19-Aug-20,12370
26-Aug-20,12664
2-Sep-20,12935
9-Sep-20,13402
16-Sep-20,13798
23-Sep-20,14765
30-Sep-20,15281
7-Oct-20,15460
14-Oct-20,15599
21-Oct-20,15738
28-Oct-20,15876
4-Nov-20,16026
11-Nov-20,16226
18-Nov-20,16582
25-Nov-20,16942
2-Dec-20,17268
9-Dec-20,17604
16-Dec-20,17838
23-Dec-20,18005
30-Dec-20,18148
6-Jan-21,18300
13-Jan-21,18488
20-Jan-21,18670
27-Jan-21,18788
3-Feb-21,18840
10-Feb-21,18898
17-Feb-21,18958
24-Feb-21,19010
3-Mar-21,19084
10-Mar-21,19157
17-Mar-21,19269
24-Mar-21,19395
31-Mar-21,19576
6-Apr-21,19942
13-Apr-21,20499
20-Apr-21,21127
27-Apr-21,21945
4-May-21,22664
11-May-21,23655
18-May-21,24064
25-May-21,24733
1-Jun-21,25295
6-Jun-21,25819
