Date,Total_Cases
10-Jun-20,974
17-Jun-20,1213
24-Jun-20,1365
1-Jul-20,1511
8-Jul-20,1605
15-Jul-20,1750
22-Jul-20,1896
29-Jul-20,2042
5-Aug-20,2218
12-Aug-20,2402
19-Aug-20,2565
26-Aug-20,2745
2-Sep-20,2935
9-Sep-20,3137
16-Sep-20,3336
23-Sep-20,3572
30-Sep-20,3787
7-Oct-20,3886
14-Oct-20,3982
21-Oct-20,4107
28-Oct-20,4211
4-Nov-20,4320
11-Nov-20,4409
18-Nov-20,4482
25-Nov-20,4583
2-Dec-20,4683
9-Dec-20,4765
16-Dec-20,4804
23-Dec-20,4838
30-Dec-20,4856
6-Jan-21,4874
13-Jan-21,4882
20-Jan-21,4894
27-Jan-21,4906
3-Feb-21,4912
10-Feb-21,4923
17-Feb-21,4947
24-Feb-21,4955
3-Mar-21,4957
10-Mar-21,4959
17-Mar-21,4965
24-Mar-21,4977
31-Mar-21,5033
6-Apr-21,5064
13-Apr-21,5140
20-Apr-21,5215
27-Apr-21,5296
4-May-21,5330
11-May-21,5407
18-May-21,5439
25-May-21,5516
1-Jun-21,5600
6-Jun-21,5642
