Date,Total_Cases
10-Jun-20,5963
17-Jun-20,9637
24-Jun-20,11710
1-Jul-20,13082
8-Jul-20,13731
15-Jul-20,14402
22-Jul-20,14722
29-Jul-20,14963
5-Aug-20,15122
12-Aug-20,15323
19-Aug-20,15412
26-Aug-20,15546
2-Sep-20,15689
9-Sep-20,15804
16-Sep-20,16005
23-Sep-20,16288
30-Sep-20,16611
7-Oct-20,17009
14-Oct-20,17681
21-Oct-20,18438
28-Oct-20,19454
4-Nov-20,20694
11-Nov-20,22775
18-Nov-20,25278
25-Nov-20,28555
2-Dec-20,31165
9-Dec-20,33695
16-Dec-20,35441
23-Dec-20,36721
30-Dec-20,37702
6-Jan-21,38687
13-Jan-21,39624
20-Jan-21,40430
27-Jan-21,41076
3-Feb-21,41655
10-Feb-21,42279
17-Feb-21,43029
24-Feb-21,43901
3-Mar-21,44921
10-Mar-21,46579
17-Mar-21,50001
24-Mar-21,53684
31-Mar-21,58557
6-Apr-21,62775
13-Apr-21,67491
20-Apr-21,70984
27-Apr-21,74131
4-May-21,76492
11-May-21,78560
18-May-21,79552
25-May-21,80662
1-Jun-21,81357
6-Jun-21,81766
