Date,Total_Cases
10-Jun-20,14527
17-Jun-20,19613
24-Jun-20,23887
1-Jul-20,26938
8-Jul-20,29052
15-Jul-20,31217
22-Jul-20,32753
29-Jul-20,33724
5-Aug-20,34324
12-Aug-20,34947
19-Aug-20,35401
26-Aug-20,35831
2-Sep-20,36340
9-Sep-20,36755
16-Sep-20,37185
23-Sep-20,37470
30-Sep-20,37811
7-Oct-20,38175
14-Oct-20,38464
21-Oct-20,38810
28-Oct-20,39277
4-Nov-20,40022
11-Nov-20,41258
18-Nov-20,43052
25-Nov-20,45828
2-Dec-20,47919
9-Dec-20,50762
16-Dec-20,53609
23-Dec-20,56160
30-Dec-20,58379
6-Jan-21,60229
13-Jan-21,62377
20-Jan-21,64373
27-Jan-21,66198
3-Feb-21,67803
10-Feb-21,68972
17-Feb-21,70306
24-Feb-21,71490
3-Mar-21,73007
10-Mar-21,74722
17-Mar-21,77443
24-Mar-21,81787
31-Mar-21,88099
6-Apr-21,93862
13-Apr-21,101045
20-Apr-21,108462
27-Apr-21,115596
4-May-21,120590
11-May-21,125392
18-May-21,127609
25-May-21,130644
1-Jun-21,133124
6-Jun-21,134558
