Date,Total_Cases
10-Jun-20,43460
17-Jun-20,60138
24-Jun-20,71191
1-Jul-20,77740
8-Jul-20,83599
15-Jul-20,88045
22-Jul-20,90816
29-Jul-20,92279
5-Aug-20,93336
12-Aug-20,94586
19-Aug-20,95611
26-Aug-20,96391
2-Sep-20,96983
9-Sep-20,97461
16-Sep-20,98041
23-Sep-20,98686
30-Sep-20,99479
7-Oct-20,100272
14-Oct-20,101237
21-Oct-20,102107
28-Oct-20,103578
4-Nov-20,105535
11-Nov-20,108221
18-Nov-20,112284
25-Nov-20,116506
2-Dec-20,121083
9-Dec-20,125250
16-Dec-20,129291
23-Dec-20,133874
30-Dec-20,137949
6-Jan-21,142835
13-Jan-21,147292
20-Jan-21,151603
27-Jan-21,155805
3-Feb-21,159311
10-Feb-21,162391
17-Feb-21,165716
24-Feb-21,169474
3-Mar-21,174191
10-Mar-21,180944
17-Mar-21,191186
24-Mar-21,205314
31-Mar-21,223181
6-Apr-21,237594
13-Apr-21,255571
20-Apr-21,276535
27-Apr-21,296144
4-May-21,308529
11-May-21,322117
18-May-21,329913
25-May-21,336315
1-Jun-21,340557
6-Jun-21,342498
