Date,Total_Cases
10-Jun-20,41303
17-Jun-20,59983
24-Jun-20,74070
1-Jul-20,86795
8-Jul-20,99362
15-Jul-20,108913
22-Jul-20,115213
29-Jul-20,119398
5-Aug-20,122016
12-Aug-20,124929
19-Aug-20,126743
26-Aug-20,128676
2-Sep-20,129827
9-Sep-20,131115
16-Sep-20,132818
23-Sep-20,134845
30-Sep-20,137106
7-Oct-20,139195
14-Oct-20,140997
21-Oct-20,142641
28-Oct-20,144765
4-Nov-20,147787
11-Nov-20,152072
18-Nov-20,158559
25-Nov-20,167381
2-Dec-20,177625
9-Dec-20,189687
16-Dec-20,199706
23-Dec-20,207407
30-Dec-20,214425
6-Jan-21,221734
13-Jan-21,230718
20-Jan-21,238470
27-Jan-21,243683
3-Feb-21,248919
10-Feb-21,252296
17-Feb-21,254678
24-Feb-21,257089
3-Mar-21,258904
10-Mar-21,260406
17-Mar-21,262207
24-Mar-21,263815
31-Mar-21,265680
6-Apr-21,267238
13-Apr-21,269840
20-Apr-21,274196
27-Apr-21,280356
4-May-21,286521
11-May-21,294251
18-May-21,301247
25-May-21,311766
1-Jun-21,319447
6-Jun-21,323828
